City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
183,Valparaiso,CL,-33.0393,-71.6273,56.84,82,0,6.91,clear sky
184,Passy,FR,45.9203,6.6877,55.76,66,96,3.4,overcast clouds
185,Terrace,CA,54.5163,-128.6035,42.42,73,100,1.43,overcast clouds
186,Calama,CL,-22.4667,-68.9333,64.89,13,0,18.41,clear sky
187,Charlestown,AU,-32.95,151.6667,80.94,43,49,4.0,scattered clouds
188,Havoysund,NO,70.9963,24.6622,31.08,64,100,21.36,light snow
189,Tomatlan,MX,19.9333,-105.25,82.63,81,8,6.29,clear sky
190,Zimovniki,RU,47.1483,42.4633,46.08,67,31,6.8,scattered clouds
191,Joensuu,FI,62.6012,29.7632,35.28,80,75,4.0,broken clouds
192,Geraldton,AU,-28.7667,114.6,61.21,100,90,13.8,overcast clouds
193,Bathsheba,BB,13.2167,-59.5167,79.41,89,20,8.05,few clouds
194,Mahebourg,MU,-20.4081,57.7,73.26,74,73,13.69,broken clouds
195,Port Blair,IN,11.6667,92.75,80.83,85,99,9.84,overcast clouds
196,Laguna,US,38.421,-121.4238,67.1,44,1,1.01,clear sky
197,Nemuro,JP,43.3236,145.575,48.63,61,18,17.07,few clouds
198,Yar-Sale,RU,66.8333,70.8333,32.86,92,56,12.19,broken clouds
199,Yellandu,IN,17.6,80.3333,72.84,93,96,1.23,overcast clouds
200,Cabo San Lucas,MX,22.8909,-109.9124,85.6,67,40,1.99,scattered clouds
201,Avera,US,33.194,-82.5271,60.71,45,26,1.36,scattered clouds
202,Puerto Leguizamo,CO,-0.1934,-74.7819,75.61,91,95,2.77,moderate rain
203,Goderich,CA,43.7501,-81.7165,55.9,63,5,7.43,clear sky
204,Lindsay,US,36.203,-119.0882,64.81,44,1,4.61,clear sky
205,Vitim,RU,59.4511,112.5578,31.05,75,100,8.52,overcast clouds
206,Francistown,BW,-21.17,27.5079,54.88,91,100,16.91,overcast clouds
207,Arman,RU,59.7,150.1667,15.6,40,1,8.61,clear sky
208,Talcahuano,CL,-36.7167,-73.1167,58.68,72,0,9.22,clear sky
209,Cedar City,US,37.6775,-113.0619,32.97,80,90,21.85,snow
210,Tubinskiy,RU,52.8892,58.2225,41.14,40,100,7.29,overcast clouds
211,San Quintin,MX,30.4833,-115.95,65.98,67,18,18.52,few clouds
212,Vila Velha,BR,-20.3297,-40.2925,71.55,100,90,4.61,moderate rain
213,Waipawa,NZ,-41.4122,175.5153,57.83,53,17,13.06,few clouds
214,Anloga,GH,5.7947,0.8973,80.15,81,99,13.98,overcast clouds
215,Chuy,UY,-33.6971,-53.4616,54.0,88,26,6.4,scattered clouds
216,Parrita,CR,9.5201,-84.3225,81.99,85,74,2.33,broken clouds
217,Deputatskiy,RU,69.3,139.9,-12.6,98,39,3.94,scattered clouds
218,Lorengau,PG,-2.0226,147.2712,85.95,68,41,11.97,scattered clouds
219,Clyde River,CA,70.4692,-68.5914,30.54,81,100,15.12,overcast clouds
220,Coihaique,CL,-45.5752,-72.0662,53.55,71,75,3.44,broken clouds
221,Hasaki,JP,35.7333,140.8333,57.29,74,100,12.26,moderate rain
222,Nyurba,RU,63.2842,118.3319,32.2,92,100,5.66,overcast clouds
223,Denpasar,ID,-8.65,115.2167,80.26,83,20,3.44,few clouds
224,Kahului,US,20.8947,-156.47,87.82,64,20,21.85,few clouds
225,Port Macquarie,AU,-31.4333,152.9167,73.89,62,75,6.17,broken clouds
226,Savonlinna,FI,61.8699,28.88,33.85,93,75,10.36,light intensity shower rain
227,Dali,CN,25.7,100.1833,59.4,92,86,4.63,overcast clouds
228,Kuningan,ID,-6.9758,108.4831,75.16,78,100,2.89,overcast clouds
229,Dubbo,AU,-32.25,148.6167,69.93,49,28,9.22,scattered clouds
230,Ouadda,CF,8.0777,22.4007,68.5,93,99,0.49,overcast clouds
231,Lagoa,PT,39.05,-27.9833,68.02,72,1,19.66,clear sky
232,Caravelas,BR,-17.7125,-39.2481,75.56,87,30,8.08,scattered clouds
233,Byron Bay,AU,-28.65,153.6167,76.05,65,99,6.42,overcast clouds
234,Laurel,US,39.0993,-76.8483,60.46,68,1,0.0,clear sky
235,Baghmara,IN,23.795,86.2085,73.94,96,100,6.02,overcast clouds
236,Lavrentiya,RU,65.5833,-171.0,27.97,71,100,15.84,overcast clouds
237,Luanda,AO,-8.8368,13.2343,74.1,80,48,8.97,scattered clouds
238,Harrisonburg,US,38.4496,-78.8689,59.59,57,1,0.0,clear sky
239,Bandundu,CD,-3.3167,17.3667,72.23,97,100,2.21,moderate rain
240,Zhengjiatun,CN,43.5064,123.5064,35.08,41,1,3.69,clear sky
241,Meulaboh,ID,4.1363,96.1285,77.61,85,99,4.43,overcast clouds
242,Takaka,NZ,-40.85,172.8,66.97,45,8,9.84,clear sky
243,Kaitangata,NZ,-46.2817,169.8464,49.93,50,100,10.38,overcast clouds
244,Hokitika,NZ,-42.7167,170.9667,54.88,81,100,9.71,overcast clouds
245,Mount Gambier,AU,-37.8333,140.7667,57.79,57,46,8.32,scattered clouds
246,Quelimane,MZ,-17.8786,36.8883,74.8,88,9,6.53,clear sky
247,Khatanga,RU,71.9667,102.5,30.04,98,100,12.55,light snow
248,Barcelona,ES,41.3888,2.159,66.78,90,20,1.01,few clouds
249,Bardiyah,LY,31.7561,25.0865,69.03,66,22,7.47,few clouds
250,Hoquiam,US,46.9809,-123.8893,56.28,62,1,4.61,clear sky
251,Schattdorf,CH,46.8655,8.6547,54.41,46,100,3.74,overcast clouds
252,Bonthe,SL,7.5264,-12.505,77.61,87,59,5.08,moderate rain
253,Dukat,RU,62.55,155.55,-1.32,92,100,5.39,overcast clouds
254,Te Anau,NZ,-45.4167,167.7167,52.81,63,92,6.26,overcast clouds
255,Constantine,DZ,36.365,6.6147,52.93,82,25,1.61,scattered clouds
256,Belaya Gora,RU,68.5333,146.4167,-0.98,90,59,3.74,broken clouds
257,Sur,OM,22.5667,59.5289,81.57,42,7,6.82,clear sky
258,Krasnoselkup,RU,65.7,82.4667,37.02,95,99,13.44,overcast clouds
259,Fomboni,KM,-12.28,43.7425,77.79,77,26,13.71,scattered clouds
260,Cabedelo,BR,-6.9811,-34.8339,78.49,79,92,10.47,overcast clouds
261,Majene,ID,-3.5403,118.9707,82.04,81,74,3.87,broken clouds
262,Eldorado,BR,-23.7869,-54.2836,66.07,83,99,3.31,overcast clouds
263,Baglung,NP,28.2719,83.5898,66.99,93,100,4.27,moderate rain
264,Suriapet,IN,17.15,79.6167,74.91,86,91,5.41,overcast clouds
265,Pinawa,CA,50.1489,-95.8811,57.51,63,65,6.15,broken clouds
266,San Isidro,PE,-12.1167,-77.05,66.02,82,90,1.01,overcast clouds
267,Port Hardy,CA,50.6996,-127.4199,50.11,72,100,8.86,overcast clouds
268,Visby,SE,57.6409,18.296,32.22,93,99,3.44,overcast clouds
269,Sayat,TM,38.7839,63.8803,44.47,21,1,3.09,clear sky
270,Lakatoro,VU,-16.0999,167.4164,78.64,81,89,17.05,light rain
271,Narsaq,GL,60.9167,-46.05,34.02,41,24,5.1,few clouds
272,Khonsa,IN,27.0167,95.5667,66.74,88,98,3.2,overcast clouds
273,Chippewa Falls,US,44.9369,-91.3929,63.99,53,1,6.91,clear sky
274,Abu Dhabi,AE,24.4667,54.3667,87.28,67,0,12.57,clear sky
275,Rio Grande,BR,-32.035,-52.0986,57.94,70,0,7.27,clear sky
276,Trairi,BR,-3.2778,-39.2689,79.56,81,50,11.77,scattered clouds
277,Tasiilaq,GL,65.6145,-37.6368,33.96,48,93,3.8,overcast clouds
278,Hanmer Springs,NZ,-42.5167,172.8167,57.06,55,74,8.7,broken clouds
279,Neftegorsk,RU,52.802,51.166,46.78,82,99,7.05,overcast clouds
280,Pecos,US,31.4229,-103.4932,81.3,26,1,13.8,clear sky
281,Laramie,US,41.3114,-105.5911,60.73,30,40,3.0,scattered clouds
282,Ozernovskiy,RU,51.5,156.5167,38.34,74,100,24.92,light rain
283,Kargil,IN,34.5667,76.1,37.51,72,28,2.51,scattered clouds
284,Pitimbu,BR,-7.4706,-34.8086,75.79,78,97,8.86,overcast clouds
285,Opmeer,NL,52.7067,4.9444,58.08,86,100,1.99,overcast clouds
286,Vostok,RU,46.4856,135.8833,26.67,63,78,3.85,broken clouds
287,Jumla,NP,29.2747,82.1838,53.82,99,100,4.47,overcast clouds
288,Kruisfontein,ZA,-34.0033,24.7314,45.88,72,0,5.03,clear sky
289,Srednekolymsk,RU,67.45,153.6833,3.72,92,86,4.85,overcast clouds
290,Miandrivazo,MG,-19.5167,45.4667,78.03,60,36,3.85,scattered clouds
291,Leopold,AU,-38.1833,144.4667,58.64,76,90,4.0,overcast clouds
292,Iqaluit,CA,63.7506,-68.5145,34.7,93,98,25.01,overcast clouds
293,Iquitos,PE,-3.7481,-73.2472,73.44,94,40,3.44,scattered clouds
294,Harper,LR,4.375,-7.7169,77.29,87,86,6.62,light rain
295,Bad Langensalza,DE,51.1,10.65,47.68,93,100,4.74,overcast clouds
296,Huilong,CN,31.8111,121.655,61.03,72,100,10.78,overcast clouds
297,Ekpoma,NG,6.7421,6.139,69.01,99,94,3.44,overcast clouds
298,Kushmurun,KZ,52.4503,64.6311,46.33,50,93,9.75,overcast clouds
299,Saravan,AM,39.7196,45.6483,45.25,78,86,2.44,overcast clouds
300,Manta,EC,-0.95,-80.7333,73.18,88,90,9.22,overcast clouds
301,Dzhebariki-Khaya,RU,62.2167,135.8,5.4,76,74,2.08,broken clouds
302,Miajadas,ES,39.1513,-5.9084,69.78,63,97,3.58,overcast clouds
303,Sitka,US,57.0531,-135.33,51.69,40,90,20.71,overcast clouds
304,Semporna,MY,4.4818,118.6112,81.05,85,97,3.96,overcast clouds
305,Saint-Philippe,RE,-21.3585,55.7679,71.15,77,42,10.2,scattered clouds
306,Leningradskiy,RU,69.3833,178.4167,9.14,87,100,4.65,overcast clouds
307,Lac Du Bonnet,CA,50.2536,-96.0612,57.83,61,66,6.67,broken clouds
308,Coahuayana,MX,18.7333,-103.6833,85.48,81,6,3.85,clear sky
309,Lata,PT,40.1629,-8.3327,65.8,83,69,2.71,broken clouds
310,Airai,TL,-8.9266,125.4092,71.76,66,91,2.53,overcast clouds
311,Miri,MY,4.4148,114.0089,78.96,89,64,3.15,broken clouds
312,Fort Nelson,CA,58.8053,-122.7002,37.38,54,90,4.61,overcast clouds
313,Itarema,BR,-2.9248,-39.9167,79.57,82,42,15.14,scattered clouds
314,Placido De Castro,BR,-10.3353,-67.1856,75.07,86,96,3.15,overcast clouds
315,Axim,GH,4.8699,-2.2405,77.9,87,99,7.23,light rain
316,Lasa,IT,46.6166,10.7002,38.62,53,97,2.53,overcast clouds
317,Mackay,AU,-21.15,149.2,86.68,70,1,6.64,clear sky
318,Stromness,GB,58.965,-3.296,57.45,89,73,4.0,broken clouds
319,Mumford,GH,5.2618,-0.759,77.02,88,100,8.46,moderate rain
320,Arlit,NE,18.7369,7.3853,84.43,25,71,9.71,broken clouds
321,Hami,CN,42.8,93.45,51.33,26,84,2.95,broken clouds
