City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
268,Viersen,DE,2021-10-15 03:55:49,51.25,6.3833,53.11,82,90,8.05
269,Tombouctou,ML,2021-10-15 03:55:49,20.0,-3.0,79.32,12,19,10.89
270,Ishigaki,JP,2021-10-15 03:55:50,24.3448,124.1572,82.53,78,75,16.11
271,Aktau,KZ,2021-10-15 03:55:50,43.65,51.2,46.98,31,73,11.14
272,Joaima,BR,2021-10-15 03:55:50,-16.6542,-41.0306,72.95,86,74,1.92
273,Aksu,CN,2021-10-15 03:55:51,41.1231,80.2644,53.02,24,0,2.33
274,Tadine,NC,2021-10-15 03:55:51,-21.55,167.8833,73.24,73,88,13.76
275,Haverfordwest,GB,2021-10-15 03:55:52,51.8017,-4.9691,57.34,93,100,1.01
276,Lagoa,PT,2021-10-15 03:55:52,39.05,-27.9833,69.6,85,67,12.3
277,Camana,PE,2021-10-15 03:55:53,-16.6228,-72.7111,61.61,90,97,9.55
278,Baykit,RU,2021-10-15 03:55:53,61.67,96.37,28.76,93,100,8.21
279,Ossora,RU,2021-10-15 03:55:53,59.2353,163.0719,32.43,92,100,13.56
280,Ramnagar,IN,2021-10-15 03:55:54,29.4,79.1167,84.2,39,0,1.45
281,Balkanabat,TM,2021-10-15 03:55:54,39.5108,54.3671,66.11,19,4,7.76
282,Provideniya,RU,2021-10-15 03:55:55,64.3833,-173.3,32.11,55,75,11.18
283,Upernavik,GL,2021-10-15 03:55:55,72.7868,-56.1549,28.6,75,52,2.73
284,Juazeiro,BR,2021-10-15 03:53:34,-9.4117,-40.4986,82.58,61,0,18.41
285,Shu,KZ,2021-10-15 03:55:56,43.5983,73.7614,53.67,33,28,2.91
286,Homer,US,2021-10-15 03:53:39,59.6425,-151.5483,38.8,86,96,1.99
287,Cody,US,2021-10-15 03:51:31,44.5263,-109.0565,37.62,48,90,3.44
288,Parangan,PH,2021-10-15 03:55:57,5.0839,119.9383,85.06,72,98,6.29
289,Chipinge,ZW,2021-10-15 03:55:57,-20.1883,32.6236,66.15,52,20,3.4
290,Bam,IR,2021-10-15 03:55:58,29.106,58.357,74.93,10,0,11.74
291,Harper,LR,2021-10-15 03:55:58,4.375,-7.7169,77.45,90,45,5.1
292,Mount Isa,AU,2021-10-15 03:55:59,-20.7333,139.5,85.77,12,100,10.36
293,Hayden,US,2021-10-15 03:55:59,47.766,-116.7866,47.48,86,40,8.05
294,Cap-Aux-Meules,CA,2021-10-15 03:55:59,47.3821,-61.8597,50.02,87,41,10.36
